lock,dataset,axis,value,n_components,kl_weight,variant,seed,allocation_coherence,allocation_perplexity_mean,allocation_degenerate,edge_survival,separation_survival,reachability_survival,branch_knn_mean_r2,branch_distance_spearman
topic-variants-alpha-1000ep-fourbg-20260908,dentate,control,0.0,10,0.01,transformer,1,,,False,0.7237418108927349,0.9365150163544455,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,0.1,10,0.01,transformer,2,0.9411907273498094,1.0000000085531653,False,0.406476954109062,0.9505401922886312,0.5844988864142538,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,1.0,10,0.01,transformer,2,0.8500633401370434,3.4771125910558016,False,0.5762533149032123,0.9077212806026366,0.9312645384805741,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,alpha,5.0,10,0.01,transformer,2,0.8824277318001614,7.355653792801171,False,0.619665850348602,0.9501437208841312,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,dentate,control,0.0,10,0.01,transformer,2,,,False,0.7294397183924904,0.9215977797601348,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,0.1,10,0.01,transformer,0,,1.0000000179393933,True,0.3319546077826036,0.8472367655613728,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,1.0,10,0.01,transformer,0,0.8135332968390588,3.696222954986901,False,0.5896738426465636,0.972542175683537,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,5.0,10,0.01,transformer,0,0.8572903595201384,7.30228530335043,False,0.614442723541581,0.9826643397324025,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,control,0.0,10,0.01,transformer,0,,,False,0.6804966192585683,1.0,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,0.1,10,0.01,transformer,1,,1.0016462428440471,False,0.36970097808182956,0.9962769051774287,0.42486531288852053,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,1.0,10,0.01,transformer,1,0.7597846462778111,3.4652315460530727,False,0.6372900220941722,0.9969749854566609,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,5.0,10,0.01,transformer,1,0.8503745379995192,7.355654570540465,False,0.6108872086955557,1.0,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,control,0.0,10,0.01,transformer,1,,,False,0.6936154503769333,1.0,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,0.1,10,0.01,transformer,2,,1.0000000144802048,False,0.4642420201233444,1.0,0.5260395082193673,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,1.0,10,0.01,transformer,2,0.8128269645350378,3.7308737876977474,False,0.578333370341997,1.0,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,alpha,5.0,10,0.01,transformer,2,0.8505392887847847,7.558570436033454,False,0.5915192796633693,1.0,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,endo,control,0.0,10,0.01,transformer,2,,,False,0.7019701562135696,1.0,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,0.1,10,0.01,transformer,0,0.530802292547129,1.0064174533845425,False,0.31882647339084386,0.868703178686093,0.4969265033407572,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,1.0,10,0.01,transformer,0,0.6033072264806645,3.235703006855824,False,0.4930551056679975,0.7378006421208765,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,5.0,10,0.01,transformer,0,0.6171337121794758,6.263712860176855,False,0.48650108082107374,0.7235688402395749,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,control,0.0,10,0.01,transformer,0,,,False,0.6384392892981524,0.8785790728675766,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,0.1,10,0.01,transformer,1,0.5896722813425617,1.1299783780060193,False,0.4013986672477906,0.6779632376410507,0.9312645384805741,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,1.0,10,0.01,transformer,1,0.601185187926172,3.1646579701806665,False,0.49733453931700794,0.6491053491297573,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,5.0,10,0.01,transformer,1,0.6153925682352828,6.238178593820109,False,0.4888185575320337,0.6509453446236458,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,control,0.0,10,0.01,transformer,1,,,False,0.635460041994485,0.8760256097332006,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,0.1,10,0.01,transformer,2,0.512199625765998,1.012032915960704,False,0.30676261591349246,0.8307955164191435,0.43183370452858205,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,1.0,10,0.01,transformer,2,0.603711280837012,2.955329865636153,False,0.49731037266454303,0.7118341750999794,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,alpha,5.0,10,0.01,transformer,2,0.613416006066301,6.226774183552453,False,0.4940235860591802,0.7170725296182948,1.0,,
topic-variants-alpha-1000ep-fourbg-20260908,lung,control,0.0,10,0.01,transformer,2,,,False,0.6350451567203825,0.8599162614295639,1.0,,
